VehRegNo,DistanceTraveled
100-1570,1546.0
100-1586,10.0
100-1586,10.0
100-1714,1.0
100-1920,15.0
100-1920,5.0
100-1940,0.0
100-1940,0.0
100-1940,0.0
100-1940,0.0
100-1994,3569.0
100-2475,0.0
100-2981,0.0
100-4106,2582.0
100-4373,1904.0
100-5105,0.0
100-5168,50006.0
100-5168,50002.0
100-5168,50002.0
100-5540,0.0
100-5761,0.0
100-5761,0.0
100-5761,0.0
100-5761,0.0
100-5761,0.0
100-5761,0.0
100-5761,0.0
100-5761,0.0
100-5761,0.0
100-5761,0.0
100-5761,0.0
100-5761,0.0
100-5761,0.0
100-5761,0.0
100-5761,0.0
100-5761,0.0
100-5761,1.0
100-5761,1.0
100-5761,1.0
100-5761,1.0
100-5761,0.0
100-5761,0.0
100-5761,0.0
100-5761,0.0
100-8055,0.0
101-0221,0.0
101-0757,0.0
103-0973,4678.0
103-0973,4669.0
103-1199,0.0
103-1199,0.0
103-1199,25670.0
103-1202,0.0
103-1202,0.0
103-1202,0.0
103-1202,0.0
103-2057,42591.0
103-2221,1.0
103-2343,1961.0
103-2343,1955.0
103-2372,0.0
103-2432,0.0
103-2432,0.0
103-2557,0.0
103-2557,7.0
103-2844,1871.0
103-2844,1871.0
103-2844,1871.0
103-3132,9013.0
103-3132,9023.0
103-3132,9013.0
103-3132,9023.0
103-3132,9013.0
103-3132,9023.0
103-3217,96017.0
103-3217,96014.0
103-3217,96012.0
103-3217,96017.0
103-3217,96014.0
103-3217,96012.0
103-3484,0.0
103-3484,0.0
103-3740,4047.0
103-4179,0.0
103-4179,0.0
103-4179,0.0
103-4179,0.0
103-4179,0.0
103-4179,0.0
103-4179,0.0
103-4179,0.0
103-4179,0.0
103-4640,500.0
103-4640,500.0
103-4640,500.0
103-4859,1844.0
103-4859,1841.0
103-5711,52488.0
103-5711,52510.0
103-5711,52516.0
103-5747,0.0
103-5850,0.0
103-5901,83798.0
103-5949,0.0
103-6049,0.0
103-6049,0.0
103-6571,50000.0
103-7256,10007.0
103-7256,10007.0
103-7705,74226.0
103-7705,0.0
103-7705,0.0
103-7705,74226.0
103-7705,0.0
103-7705,0.0
103-7774,0.0
103-7774,0.0
103-8838,0.0
103-8838,0.0
103-8838,0.0
103-8838,0.0
103-8838,0.0
103-8838,0.0
103-8874,3.0
103-8874,3.0
103-8932,0.0
103-8932,0.0
103-9838,0.0
104-0270,559998.0
104-0270,0.0
104-0270,569997.0
104-0270,9999.0
104-0735,0.0
104-0735,0.0
104-3325,0.0
105-7672,43901.0
105-7672,43901.0
105-7672,43901.0
105-7672,43901.0
105-7700,0.0
105-7700,0.0
105-7700,0.0
105-7700,0.0
105-7700,0.0
105-7700,0.0
109-7843,27798.0
109-9296,0.0
109-9296,0.0
109-9296,0.0
109-9333,0.0
109-9333,0.0
109-9333,0.0
109-9333,0.0
11-0527,89.0
110-0362,2431.0
110-0400,2622.0
110-0400,2610.0
110-0400,2555.0
110-1446,4518.0
110-1560,12436.0
110-1743,3219.0
110-1821,3148.0
110-1821,3148.0
110-2051,4459.0
110-2051,4459.0
110-3028,49844.0
110-3028,49844.0
110-3028,49844.0
110-3028,49844.0
110-3028,49844.0
110-3028,49844.0
110-3078,0.0
110-3078,0.0
110-4122,0.0
110-4168,3744.0
110-4168,3744.0
110-4168,3744.0
110-4168,3744.0
110-4168,63744.0
110-4168,3744.0
110-4168,3744.0
110-4168,3744.0
110-4168,3744.0
110-4168,3744.0
110-4168,63744.0
110-4168,3744.0
110-4257,714872.0
110-4257,714869.0
110-4257,714869.0
110-4257,714872.0
110-4257,714869.0
110-4257,714869.0
110-4261,0.0
110-4325,0.0
110-4449,90618.0
110-4449,90618.0
110-4449,90618.0
110-4449,90618.0
110-4449,90618.0
110-4449,90618.0
110-4559,12.0
110-4729,4266.0
110-4729,4251.0
110-4748,0.0
110-4748,0.0
110-4791,0.0
110-5327,0.0
110-5350,25886.0
110-5350,25886.0
110-5350,25886.0
110-5376,0.0
110-5376,0.0
110-5376,0.0
110-5799,0.0
110-5969,0.0
110-6570,0.0
110-6570,0.0
110-6870,2.0
110-6870,0.0
110-6870,0.0
110-7103,0.0
110-7103,0.0
110-7548,2247.0
110-7548,2248.0
110-7643,44010.0
110-7643,34100.0
110-7643,34100.0
110-8159,5.0
110-8615,68074.0
110-8615,68074.0
110-8615,68148.0
110-9693,865.0
110-9693,865.0
110-9693,865.0
110-9693,865.0
110-9693,865.0
110-9693,865.0
110-9834,0.0
110-9834,0.0
111-0832,1923.0
111-1233,0.0
111-1233,0.0
111-1233,0.0
111-1455,956.0
111-3131,8764.0
111-3131,0.0
111-3956,0.0
111-3956,0.0
